"county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Allamakee","Misc",69287,4301,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Brandy",40302,3649,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Schnapps",79787,6237,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Tequila",22729,1451,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Distilled Spirits",3430,232,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Whisky",287559,21650,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Rum",123946,8436,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Allamakee","Gin",11174,901,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"Appanoose","Brandy",11199,880,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Tequila",36133,2679,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Distilled Spirits",3942,186,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Misc",70681,3909,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Schnapps",45465,3757,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Vodka",160579,15761,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Rum",105160,7627,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Whisky",314443,19653,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Amaretto",5257,506,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Appanoose","Gin",13018,1124,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"Audubon","Vodka",31303,3926,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Misc",10066,624,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Brandy",3716,346,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Gin",2028,162,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Amaretto",1481,197,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Rum",30595,2232,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Distilled Spirits",356,18,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Tequila",3430,237,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Whisky",71730,5796,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Audubon","Schnapps",6047,564,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"Benton","Vodka",138430,14600,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Whisky",288848,21693,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Rum",103779,7354,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Tequila",28704,2080,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Distilled Spirits",4114,178,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Gin",10103,933,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Brandy",24499,2159,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Amaretto",2658,221,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Schnapps",43782,3419,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Benton","Misc",51367,3242,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"Black Hawk","Whisky",4490927,275531,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Rum",1953607,137217,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Brandy",1308312,62581,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Misc",1310459,75360,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Amaretto",58143,5916,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Vodka",3669281,296296,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Gin",579620,44616,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Schnapps",754695,51979,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Tequila",1040044,56138,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Black Hawk","Distilled Spirits",124361,13533,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"Boone","Vodka",291581,28754,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Rum",193903,13826,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Distilled Spirits",8443,524,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Gin",32274,2692,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Whisky",586592,40583,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Tequila",52539,3498,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Amaretto",5443,482,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Schnapps",61374,4607,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"Boone","Misc",110392,6595,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
