"city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Albia","Rum",41917,2808,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Brandy",6182,453,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Misc",26994,1641,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Distilled Spirits",1713,84,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Schnapps",14405,1077,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Gin",4293,370,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Whisky",127516,8813,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Alburnett","Misc",109,3,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Vodka",169,12,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Rum",80,7,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Brandy",13,2,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Whisky",231,14,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Schnapps",56,2,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Tequila",9,0,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alden","Whisky",44967,3003,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Schnapps",2592,206,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Misc",4662,280,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Gin",2049,226,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Amaretto",333,47,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Tequila",2113,99,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Distilled Spirits",295,14,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Rum",19915,1413,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Brandy",564,54,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Vodka",16466,1695,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Algona","Distilled Spirits",7122,608,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Tequila",40632,2977,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Schnapps",48546,3812,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Gin",15826,1249,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Amaretto",4269,486,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Misc",87003,5355,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Rum",150326,11255,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Whisky",408881,30645,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Vodka",162468,15423,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Algona","Brandy",23793,1961,94.4,24.2,0.7,34392,5496,5431,6,0,15,0,11,33
"Allison","Brandy",2385,209,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Gin",263,25,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Misc",3802,220,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Schnapps",3424,313,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Amaretto",53,8,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Whisky",33315,2712,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Tequila",1334,84,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Vodka",17988,2184,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Distilled Spirits",428,18,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
"Allison","Rum",12220,922,92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6
